RTX 3080 Partition Camping (No L1/L2 Cache)
Data: 32 MB

Linear (no cache): 760.50 GB/s

Partition(MB) | Bandwidth(GB/s) | vs Linear | Status
--------------|-----------------|-----------|--------
0.25          | 15.43           | 0.02      | *** CAMPING ***
0.50          | 30.92           | 0.04      | *** CAMPING ***
0.75          | 46.46           | 0.06      | *** CAMPING ***
1.00          | 61.80           | 0.08      | *** CAMPING ***
1.25          | 77.45           | 0.10      | *** CAMPING ***
1.50          | 92.93           | 0.12      | *** CAMPING ***
1.75          | 108.43          | 0.14      | *** CAMPING ***
2.00          | 123.90          | 0.16      | *** CAMPING ***
2.25          | 139.47          | 0.18      | *** CAMPING ***
2.50          | 155.06          | 0.20      | *** CAMPING ***
2.75          | 169.84          | 0.22      | *** CAMPING ***
3.00          | 184.50          | 0.24      | *** CAMPING ***
3.25          | 168.68          | 0.22      | *** CAMPING ***
3.50          | 193.21          | 0.25      | *** CAMPING ***
3.75          | 160.74          | 0.21      | *** CAMPING ***
4.00          | 225.55          | 0.30      | *** CAMPING ***
4.25          | 156.55          | 0.21      | *** CAMPING ***
4.50          | 168.11          | 0.22      | *** CAMPING ***
4.75          | 175.22          | 0.23      | *** CAMPING ***
5.00          | 262.71          | 0.35      | ** SLOW **
5.25          | 164.86          | 0.22      | *** CAMPING ***
5.50          | 157.71          | 0.21      | *** CAMPING ***
5.75          | 185.58          | 0.24      | *** CAMPING ***
6.00          | 281.42          | 0.37      | ** SLOW **
6.25          | 184.44          | 0.24      | *** CAMPING ***
6.50          | 167.70          | 0.22      | *** CAMPING ***
6.75          | 199.71          | 0.26      | *** CAMPING ***
7.00          | 296.44          | 0.39      | ** SLOW **
7.25          | 203.12          | 0.27      | *** CAMPING ***
7.50          | 196.97          | 0.26      | *** CAMPING ***
7.75          | 224.56          | 0.30      | *** CAMPING ***
8.00          | 301.31          | 0.40      | ** SLOW **
8.25          | 223.02          | 0.29      | *** CAMPING ***
8.50          | 219.93          | 0.29      | *** CAMPING ***
8.75          | 248.57          | 0.33      | ** SLOW **
9.00          | 279.87          | 0.37      | ** SLOW **
9.25          | 242.14          | 0.32      | ** SLOW **
9.50          | 235.09          | 0.31      | ** SLOW **
9.75          | 267.38          | 0.35      | ** SLOW **
10.00         | 279.40          | 0.37      | ** SLOW **
10.25         | 261.88          | 0.34      | ** SLOW **
10.50         | 247.40          | 0.33      | ** SLOW **
10.75         | 288.85          | 0.38      | ** SLOW **
11.00         | 288.14          | 0.38      | ** SLOW **
11.25         | 284.80          | 0.37      | ** SLOW **
11.50         | 267.45          | 0.35      | ** SLOW **
11.75         | 311.47          | 0.41      | ** SLOW **
12.00         | 304.92          | 0.40      | ** SLOW **
12.25         | 313.29          | 0.41      | ** SLOW **
12.50         | 285.01          | 0.37      | ** SLOW **
12.75         | 334.76          | 0.44      | ** SLOW **
13.00         | 325.32          | 0.43      | ** SLOW **
13.25         | 334.19          | 0.44      | ** SLOW **
13.50         | 315.99          | 0.42      | ** SLOW **
13.75         | 350.86          | 0.46      | ** SLOW **
14.00         | 348.41          | 0.46      | ** SLOW **
14.25         | 351.13          | 0.46      | ** SLOW **
14.50         | 342.36          | 0.45      | ** SLOW **
14.75         | 364.57          | 0.48      | ** SLOW **
15.00         | 369.76          | 0.49      | ** SLOW **
15.25         | 366.26          | 0.48      | ** SLOW **
15.50         | 366.08          | 0.48      | ** SLOW **
15.75         | 378.98          | 0.50      | ** SLOW **
16.00         | 391.13          | 0.51      | ** SLOW **
16.25         | 383.50          | 0.50      | ** SLOW **
16.50         | 389.61          | 0.51      | ** SLOW **
16.75         | 406.27          | 0.53      | ** SLOW **
17.00         | 410.95          | 0.54      | ** SLOW **
17.25         | 406.75          | 0.53      | ** SLOW **
17.50         | 415.04          | 0.55      | ** SLOW **
17.75         | 436.83          | 0.57      | ** SLOW **
18.00         | 432.08          | 0.57      | ** SLOW **
18.25         | 429.51          | 0.56      | ** SLOW **
18.50         | 439.54          | 0.58      | ** SLOW **
18.75         | 467.49          | 0.61      | OK
19.00         | 453.33          | 0.60      | ** SLOW **
19.25         | 452.63          | 0.60      | ** SLOW **
19.50         | 464.37          | 0.61      | OK
19.75         | 501.46          | 0.66      | OK
20.00         | 473.94          | 0.62      | OK
20.25         | 474.07          | 0.62      | OK
20.50         | 490.23          | 0.64      | OK
20.75         | 535.35          | 0.70      | OK
21.00         | 494.77          | 0.65      | OK
21.25         | 496.24          | 0.65      | OK
21.50         | 517.78          | 0.68      | OK
21.75         | 570.35          | 0.75      | OK
22.00         | 517.53          | 0.68      | OK
22.25         | 518.09          | 0.68      | OK
22.50         | 544.04          | 0.72      | OK
22.75         | 594.59          | 0.78      | OK
23.00         | 538.33          | 0.71      | OK
23.25         | 538.64          | 0.71      | OK
23.50         | 569.02          | 0.75      | OK
