RTX 3080 Partition Camping (No L1/L2 Cache)
Data: 32 MB

Linear (no cache): 761.54 GB/s

Partition(MB) | Bandwidth(GB/s) | vs Linear | Status
--------------|-----------------|-----------|--------
0.25          | 16.78           | 0.02      | *** CAMPING ***
0.50          | 33.53           | 0.04      | *** CAMPING ***
0.75          | 50.26           | 0.07      | *** CAMPING ***
1.00          | 67.06           | 0.09      | *** CAMPING ***
1.25          | 82.37           | 0.11      | *** CAMPING ***
1.50          | 100.52          | 0.13      | *** CAMPING ***
1.75          | 109.86          | 0.14      | *** CAMPING ***
2.00          | 133.94          | 0.18      | *** CAMPING ***
2.25          | 138.82          | 0.18      | *** CAMPING ***
2.50          | 166.88          | 0.22      | *** CAMPING ***
2.75          | 168.36          | 0.22      | *** CAMPING ***
3.00          | 198.96          | 0.26      | *** CAMPING ***
3.25          | 175.62          | 0.23      | *** CAMPING ***
3.50          | 215.67          | 0.28      | *** CAMPING ***
3.75          | 168.35          | 0.22      | *** CAMPING ***
4.00          | 253.47          | 0.33      | ** SLOW **
4.25          | 162.75          | 0.21      | *** CAMPING ***
4.50          | 219.70          | 0.29      | *** CAMPING ***
4.75          | 175.96          | 0.23      | *** CAMPING ***
5.00          | 308.62          | 0.41      | ** SLOW **
5.25          | 165.36          | 0.22      | *** CAMPING ***
5.50          | 193.47          | 0.25      | *** CAMPING ***
5.75          | 186.09          | 0.24      | *** CAMPING ***
6.00          | 357.08          | 0.47      | ** SLOW **
6.25          | 182.23          | 0.24      | *** CAMPING ***
6.50          | 180.39          | 0.24      | *** CAMPING ***
6.75          | 199.83          | 0.26      | *** CAMPING ***
7.00          | 381.28          | 0.50      | ** SLOW **
7.25          | 204.07          | 0.27      | *** CAMPING ***
7.50          | 201.11          | 0.26      | *** CAMPING ***
7.75          | 224.76          | 0.30      | *** CAMPING ***
8.00          | 376.65          | 0.49      | ** SLOW **
8.25          | 223.26          | 0.29      | *** CAMPING ***
8.50          | 222.44          | 0.29      | *** CAMPING ***
8.75          | 248.75          | 0.33      | ** SLOW **
9.00          | 370.30          | 0.49      | ** SLOW **
9.25          | 242.00          | 0.32      | ** SLOW **
9.50          | 237.91          | 0.31      | ** SLOW **
9.75          | 267.52          | 0.35      | ** SLOW **
10.00         | 353.71          | 0.46      | ** SLOW **
10.25         | 262.40          | 0.34      | ** SLOW **
10.50         | 249.52          | 0.33      | ** SLOW **
10.75         | 288.80          | 0.38      | ** SLOW **
