RTX 3080 Partition Camping (No L1/L2 Cache)
Data: 32 MB

Linear (no cache): 762.40 GB/s

Partition(MB) | Bandwidth(GB/s) | vs Linear | Status
--------------|-----------------|-----------|--------
0.25          | 15.45           | 0.02      | *** CAMPING ***
0.50          | 30.90           | 0.04      | *** CAMPING ***
0.75          | 46.46           | 0.06      | *** CAMPING ***
1.00          | 61.74           | 0.08      | *** CAMPING ***
1.25          | 77.43           | 0.10      | *** CAMPING ***
1.50          | 92.82           | 0.12      | *** CAMPING ***
1.75          | 108.41          | 0.14      | *** CAMPING ***
2.00          | 123.84          | 0.16      | *** CAMPING ***
2.25          | 139.32          | 0.18      | *** CAMPING ***
2.50          | 154.96          | 0.20      | *** CAMPING ***
2.75          | 169.54          | 0.22      | *** CAMPING ***
3.00          | 184.08          | 0.24      | *** CAMPING ***
3.25          | 168.53          | 0.22      | *** CAMPING ***
3.50          | 193.63          | 0.25      | *** CAMPING ***
3.75          | 160.60          | 0.21      | *** CAMPING ***
4.00          | 225.43          | 0.30      | *** CAMPING ***
4.25          | 156.43          | 0.21      | *** CAMPING ***
4.50          | 169.04          | 0.22      | *** CAMPING ***
4.75          | 175.47          | 0.23      | *** CAMPING ***
5.00          | 262.56          | 0.34      | ** SLOW **
5.25          | 164.61          | 0.22      | *** CAMPING ***
5.50          | 157.98          | 0.21      | *** CAMPING ***
5.75          | 185.57          | 0.24      | *** CAMPING ***
6.00          | 280.80          | 0.37      | ** SLOW **
6.25          | 184.49          | 0.24      | *** CAMPING ***
6.50          | 167.57          | 0.22      | *** CAMPING ***
6.75          | 199.54          | 0.26      | *** CAMPING ***
7.00          | 297.67          | 0.39      | ** SLOW **
7.25          | 203.52          | 0.27      | *** CAMPING ***
7.50          | 196.77          | 0.26      | *** CAMPING ***
7.75          | 224.82          | 0.29      | *** CAMPING ***
8.00          | 301.73          | 0.40      | ** SLOW **
8.25          | 223.14          | 0.29      | *** CAMPING ***
8.50          | 220.32          | 0.29      | *** CAMPING ***
8.75          | 248.84          | 0.33      | ** SLOW **
9.00          | 280.82          | 0.37      | ** SLOW **
9.25          | 242.00          | 0.32      | ** SLOW **
9.50          | 234.69          | 0.31      | ** SLOW **
9.75          | 267.31          | 0.35      | ** SLOW **
10.00         | 279.55          | 0.37      | ** SLOW **
10.25         | 262.00          | 0.34      | ** SLOW **
10.50         | 246.89          | 0.32      | ** SLOW **
10.75         | 288.55          | 0.38      | ** SLOW **
11.00         | 288.77          | 0.38      | ** SLOW **
11.25         | 283.60          | 0.37      | ** SLOW **
11.50         | 267.64          | 0.35      | ** SLOW **
11.75         | 311.90          | 0.41      | ** SLOW **
12.00         | 304.32          | 0.40      | ** SLOW **
12.25         | 313.36          | 0.41      | ** SLOW **
12.50         | 287.91          | 0.38      | ** SLOW **
12.75         | 334.86          | 0.44      | ** SLOW **
13.00         | 325.88          | 0.43      | ** SLOW **
13.25         | 333.94          | 0.44      | ** SLOW **
13.50         | 316.77          | 0.42      | ** SLOW **
13.75         | 350.86          | 0.46      | ** SLOW **
14.00         | 348.47          | 0.46      | ** SLOW **
14.25         | 351.95          | 0.46      | ** SLOW **
14.50         | 342.37          | 0.45      | ** SLOW **
14.75         | 364.22          | 0.48      | ** SLOW **
15.00         | 369.65          | 0.48      | ** SLOW **
15.25         | 366.67          | 0.48      | ** SLOW **
15.50         | 366.15          | 0.48      | ** SLOW **
15.75         | 379.57          | 0.50      | ** SLOW **
16.00         | 391.42          | 0.51      | ** SLOW **
16.25         | 383.76          | 0.50      | ** SLOW **
16.50         | 389.59          | 0.51      | ** SLOW **
16.75         | 406.04          | 0.53      | ** SLOW **
17.00         | 411.05          | 0.54      | ** SLOW **
17.25         | 406.91          | 0.53      | ** SLOW **
17.50         | 415.30          | 0.54      | ** SLOW **
17.75         | 436.92          | 0.57      | ** SLOW **
18.00         | 432.47          | 0.57      | ** SLOW **
18.25         | 429.91          | 0.56      | ** SLOW **
18.50         | 440.15          | 0.58      | ** SLOW **
18.75         | 467.95          | 0.61      | OK
19.00         | 453.63          | 0.59      | ** SLOW **
19.25         | 452.32          | 0.59      | ** SLOW **
19.50         | 465.13          | 0.61      | OK
19.75         | 501.61          | 0.66      | OK
20.00         | 473.89          | 0.62      | OK
20.25         | 473.75          | 0.62      | OK
20.50         | 490.01          | 0.64      | OK
20.75         | 535.62          | 0.70      | OK
21.00         | 494.91          | 0.65      | OK
21.25         | 496.58          | 0.65      | OK
21.50         | 516.69          | 0.68      | OK
21.75         | 570.78          | 0.75      | OK
22.00         | 517.05          | 0.68      | OK
22.25         | 518.53          | 0.68      | OK
22.50         | 546.36          | 0.72      | OK
22.75         | 594.75          | 0.78      | OK
23.00         | 538.70          | 0.71      | OK
23.25         | 538.28          | 0.71      | OK
23.50         | 570.10          | 0.75      | OK
23.75         | 615.13          | 0.81      | OK
24.00         | 562.27          | 0.74      | OK
24.25         | 557.32          | 0.73      | OK
24.50         | 599.66          | 0.79      | OK
24.75         | 638.67          | 0.84      | OK
25.00         | 584.62          | 0.77      | OK
25.25         | 585.52          | 0.77      | OK
25.50         | 625.14          | 0.82      | OK
25.75         | 655.92          | 0.86      | OK
26.00         | 607.19          | 0.80      | OK
26.25         | 613.98          | 0.81      | OK
26.50         | 649.35          | 0.85      | OK
26.75         | 670.88          | 0.88      | OK
27.00         | 629.97          | 0.83      | OK
27.25         | 638.54          | 0.84      | OK
27.50         | 669.20          | 0.88      | OK
27.75         | 686.94          | 0.90      | OK
28.00         | 654.03          | 0.86      | OK
28.25         | 662.78          | 0.87      | OK
28.50         | 688.63          | 0.90      | OK
28.75         | 704.47          | 0.92      | OK
29.00         | 677.99          | 0.89      | OK
29.25         | 686.04          | 0.90      | OK
29.50         | 707.14          | 0.93      | OK
29.75         | 719.51          | 0.94      | OK
30.00         | 701.21          | 0.92      | OK
30.25         | 708.51          | 0.93      | OK
30.50         | 722.27          | 0.95      | OK
30.75         | 732.47          | 0.96      | OK
31.00         | 724.14          | 0.95      | OK
31.25         | 729.64          | 0.96      | OK
31.50         | 737.15          | 0.97      | OK
31.75         | 744.49          | 0.98      | OK
32.00         | 746.91          | 0.98      | OK
32.25         | 746.47          | 0.98      | OK
32.50         | 746.55          | 0.98      | OK
32.75         | 746.44          | 0.98      | OK
33.00         | 746.62          | 0.98      | OK
33.25         | 746.48          | 0.98      | OK
33.50         | 746.77          | 0.98      | OK
33.75         | 747.09          | 0.98      | OK
34.00         | 746.60          | 0.98      | OK
34.25         | 746.59          | 0.98      | OK
34.50         | 746.99          | 0.98      | OK
34.75         | 746.66          | 0.98      | OK
35.00         | 746.59          | 0.98      | OK
35.25         | 747.27          | 0.98      | OK
35.50         | 747.79          | 0.98      | OK
35.75         | 746.93          | 0.98      | OK
36.00         | 745.91          | 0.98      | OK
36.25         | 747.62          | 0.98      | OK
36.50         | 746.59          | 0.98      | OK
36.75         | 746.77          | 0.98      | OK
37.00         | 747.45          | 0.98      | OK
37.25         | 747.12          | 0.98      | OK
37.50         | 746.76          | 0.98      | OK
37.75         | 746.93          | 0.98      | OK
38.00         | 747.27          | 0.98      | OK
38.25         | 746.25          | 0.98      | OK
38.50         | 746.94          | 0.98      | OK
38.75         | 747.10          | 0.98      | OK
39.00         | 747.79          | 0.98      | OK
39.25         | 746.93          | 0.98      | OK
39.50         | 747.11          | 0.98      | OK
39.75         | 747.10          | 0.98      | OK
40.00         | 747.27          | 0.98      | OK
40.25         | 746.99          | 0.98      | OK
40.50         | 746.76          | 0.98      | OK
40.75         | 747.45          | 0.98      | OK
41.00         | 746.64          | 0.98      | OK
41.25         | 746.76          | 0.98      | OK
41.50         | 746.93          | 0.98      | OK
41.75         | 746.42          | 0.98      | OK
42.00         | 747.10          | 0.98      | OK
42.25         | 747.13          | 0.98      | OK
42.50         | 746.63          | 0.98      | OK
42.75         | 746.59          | 0.98      | OK
43.00         | 747.10          | 0.98      | OK
43.25         | 747.10          | 0.98      | OK
43.50         | 747.43          | 0.98      | OK
43.75         | 746.93          | 0.98      | OK
44.00         | 747.27          | 0.98      | OK
44.25         | 747.79          | 0.98      | OK
44.50         | 746.59          | 0.98      | OK
44.75         | 746.93          | 0.98      | OK
45.00         | 747.27          | 0.98      | OK
45.25         | 747.85          | 0.98      | OK
45.50         | 746.96          | 0.98      | OK
45.75         | 746.42          | 0.98      | OK
46.00         | 747.27          | 0.98      | OK
46.25         | 747.62          | 0.98      | OK
46.50         | 747.10          | 0.98      | OK
46.75         | 745.98          | 0.98      | OK
47.00         | 746.25          | 0.98      | OK
47.25         | 746.80          | 0.98      | OK
47.50         | 746.72          | 0.98      | OK
47.75         | 746.93          | 0.98      | OK
48.00         | 746.59          | 0.98      | OK
48.25         | 746.93          | 0.98      | OK
48.50         | 746.49          | 0.98      | OK
48.75         | 747.13          | 0.98      | OK
49.00         | 746.42          | 0.98      | OK
49.25         | 747.27          | 0.98      | OK
49.50         | 746.93          | 0.98      | OK
49.75         | 746.97          | 0.98      | OK
50.00         | 747.10          | 0.98      | OK
50.25         | 747.10          | 0.98      | OK
50.50         | 746.93          | 0.98      | OK
50.75         | 747.10          | 0.98      | OK
51.00         | 747.27          | 0.98      | OK
51.25         | 747.16          | 0.98      | OK
51.50         | 746.57          | 0.98      | OK
51.75         | 747.27          | 0.98      | OK
52.00         | 746.99          | 0.98      | OK
52.25         | 746.25          | 0.98      | OK
52.50         | 747.79          | 0.98      | OK
52.75         | 747.45          | 0.98      | OK
53.00         | 746.42          | 0.98      | OK
53.25         | 746.30          | 0.98      | OK
53.50         | 746.64          | 0.98      | OK
53.75         | 746.59          | 0.98      | OK
54.00         | 746.96          | 0.98      | OK
54.25         | 747.45          | 0.98      | OK
54.50         | 747.10          | 0.98      | OK
54.75         | 747.62          | 0.98      | OK
55.00         | 747.27          | 0.98      | OK
55.25         | 746.65          | 0.98      | OK
55.50         | 746.27          | 0.98      | OK
55.75         | 747.45          | 0.98      | OK
56.00         | 747.46          | 0.98      | OK
56.25         | 746.30          | 0.98      | OK
56.50         | 746.72          | 0.98      | OK
56.75         | 746.77          | 0.98      | OK
57.00         | 747.27          | 0.98      | OK
57.25         | 746.94          | 0.98      | OK
57.50         | 747.10          | 0.98      | OK
57.75         | 747.27          | 0.98      | OK
58.00         | 747.10          | 0.98      | OK
58.25         | 747.15          | 0.98      | OK
58.50         | 746.93          | 0.98      | OK
58.75         | 747.10          | 0.98      | OK
59.00         | 747.47          | 0.98      | OK
59.25         | 747.50          | 0.98      | OK
59.50         | 746.83          | 0.98      | OK
59.75         | 746.59          | 0.98      | OK
60.00         | 747.45          | 0.98      | OK
60.25         | 747.45          | 0.98      | OK
60.50         | 747.10          | 0.98      | OK
60.75         | 746.93          | 0.98      | OK
61.00         | 747.32          | 0.98      | OK
